bac_type,bac_type_id,bac_type_name,extracted_at,extraction_phase,field_of_study,final_merge_timestamp,governorate,institution,ramz_code,ramz_id,ramz_link,score_2011,score_2012,score_2013,score_2014,score_2015,score_2016,score_2017,score_2018,score_2019,score_2020,score_2021,score_2022,score_2023,score_2024,scores_corrected_at,seven_percent,specialization_code_detailed,study_duration,table_criteria,table_institution,table_location,table_specialization,table_university,university,university_id,university_name
,5,العلوم التقنية,2025-07-11T18:34:33.953231,detailed,العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10507,510507,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510507,124.3928,132.8405,133.5628,127.43,149.1848,106.0905,124.869,127.2284,119.16,139.3247,147.6119,159.63,133.53,143.2677,2025-07-11T22:53:30.462455,نعم,,سنوات,FG+M,كلية العلوم بتونس,تونس,الإجازة في الرياضيات,جامعة تونس المنار,,03,جامعة تونس المنار
,4,إقتصاد وتصرف,2025-07-11T18:34:33.970006,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",11123,411123,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.585,96.9474,80.919,75.1982,70.6616,75.706,2025-07-11T22:53:34.325943,نعم,,سنوات,FG+(F+HG)/2,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في التاريخ,جامعة منوبة,,02,جامعة منوبة
,3,علوم تجريبية,2025-07-11T18:34:33.781675,detailed,علوم الصحة والطب وطب الأسنان والصيدلة : علوم الصحة والطب وطب الأسنان والصيدلة,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10700,310700,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310700,178.6365,162.825,165.975,159.075,167.975,168.175,173.5,170.925,181.215,188.145,194.155,187.805,186.645,181.64,2025-07-11T22:53:38.627776,نعم,,سنوات,FG+SVT,كلية الطب بتونس,تونس,الـطــب,جامعة تونس المنار,,03,جامعة تونس المنار
,2,رياضيات,2025-07-11T18:34:34.048445,detailed,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",12102,212102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=212102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.9881,125.3382,156.0595,137.905,136.2913,150.785,2025-07-11T22:53:42.562294,نعم,,سنوات,FG+ANG,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في الإنقليزية,جامعة تونس المنار,,03,جامعة تونس المنار
,5,العلوم التقنية,2025-07-11T18:34:33.674261,detailed,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",12105,512105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=512105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.235,114.315,114.1726,118.9145,120.8084,0.0,2025-07-11T22:53:46.452860,نعم,,سنوات,FG+IT,المعهد العالي للغات بتونس,تونس,الإجازة في الإيطالية,جامعة قرطاج,,04,جامعة  قرطاج
,5,العلوم التقنية,2025-07-11T18:34:34.328575,detailed,العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",20501,520501,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=520501,0.0,0.0,0.0,98.2795,102.3776,100.48,108.6318,109.996,111.165,107.97,106.9519,113.51,106.4329,104.84,2025-07-11T22:53:50.460775,نعم,,سنوات,FG+(M+SP)/2,كلية العلوم ببنزرت,بنزرت,الإجازة في الكيمياء,جامعة قرطاج,,04,جامعة  قرطاج
,6,علوم الإعلامية,2025-07-11T18:34:33.875467,detailed,العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",12311,612311,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=612311,134.9805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.3216,131.3291,152.6221,153.8874,162.8005,163.3034,2025-07-11T22:53:54.362747,نعم,,سنوات,FG+(M+Algo)/2,المدرسة العليا للإقتصاد الرقمي بمنوبة,تونس,الإجازة في إعلامية التـصـرف,جامعة منوبة,,02,جامعة منوبة
,4,إقتصاد وتصرف,2025-07-11T18:34:34.189588,detailed,العلوم القانونية والعلوم السياسية : العلوم القانونية والعلوم السياسية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",11301,411301,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411301,106.251,103.4208,110.0816,114.3616,118.075,98.28,117.0045,121.3915,118.861,121.475,131.273,143.3747,120.252,129.5,2025-07-11T22:53:58.266074,نعم,,سنوات,FG+(AR+FR)/2,كلية العلوم القانونية والسياسية والإجتماعية بتونس,تونس,الإجازة في القانون,جامعة قرطاج,,04,جامعة  قرطاج
,6,علوم الإعلامية,2025-07-11T18:34:49.961565,detailed,السياحة والتنشيط والرياضة والتربية البدنية : السياحة والتنشيط والرياضة والتربية البدنية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10450,610450,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.3416,119.83,133.8731,125.7518,133.3755,160.5482,2025-07-11T22:54:02.225460,نعم,,سنوات,FG+Spt,المعهد العالي للرياضة و التربية البدنية بقصر السعيد,تونس,الإجازة في علوم وتقنيات الأنشطة البدنية والرياضة,جامعة منوبة,,02,جامعة منوبة
,1,آداب,2025-07-11T18:34:49.991243,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10122,110122,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110122,85.525,89.3363,87.0713,83.228,84.6668,91.2976,89.9655,90.1442,102.3704,97.04,100.01,95.608,98.6599,102.7735,2025-07-11T22:54:06.180120,نعم,,سنوات,FG+PH,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الفـلســفــة,جامعة تونس,,01,جامعة تونس
,1,آداب,2025-07-11T18:34:49.773294,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10121,110121,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110121,95.575,97.7085,94.65,92.2502,97.5748,101.825,103.975,107.145,121.31,123.82,132.095,128.755,130.475,131.195,2025-07-11T22:54:10.144756,نعم,,سنوات,FG+PH,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في علم النـفـــس,جامعة تونس,,01,جامعة تونس
